Species,Trap,Latitude,Longitude,WnvPresent,AvgSpeed,Cool,Day_of_year,Depart,Heat,PrecipTotal,ResultDir,ResultSpeed,SeaLevel,StnPressure,Tavg,Tmax,Tmin,Pred
19,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
20,CULEX RESTUANS,T129,41.891126,-87.61156,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
21,CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
22,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.687769,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
23,CULEX RESTUANS,T153,41.907645,-87.760886,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
24,CULEX RESTUANS,T159,41.732984,-87.649642,0,6.5,9.0,149,10.0,0.0,0.0,18,5.8,30.11,29.39,74.0,88,60,0.0
25,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
26,CULEX RESTUANS,T002,41.95469,-87.800991,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
27,CULEX PIPIENS,T002,41.95469,-87.800991,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
28,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
29,CULEX RESTUANS,T015,41.974089,-87.824812,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
30,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
31,CULEX RESTUANS,T045,41.9216,-87.666455,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
32,CULEX PIPIENS,T045,41.9216,-87.666455,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
33,CULEX RESTUANS,T046,41.891118,-87.654491,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
34,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
35,CULEX RESTUANS,T048,41.867108,-87.654224,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
36,CULEX PIPIENS,T048,41.867108,-87.654224,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
37,CULEX RESTUANS,T049,41.896282,-87.655232,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
38,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
39,CULEX RESTUANS,T050,41.919343,-87.694259,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
40,CULEX RESTUANS,T054,41.921965,-87.632085,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
41,CULEX RESTUANS,T086,41.688324,-87.676709,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
42,CULEX PIPIENS/RESTUANS,T094,41.720848,-87.666014,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
43,CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
44,CULEX RESTUANS,T096,41.731922,-87.677512,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
45,CULEX PIPIENS,T096,41.731922,-87.677512,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
46,CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
47,CULEX RESTUANS,T143,41.999129,-87.795585,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
48,CULEX RESTUANS,T153,41.907645,-87.760886,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
49,CULEX RESTUANS,T159,41.732984,-87.649642,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
50,CULEX RESTUANS,T009,41.981964,-87.812827,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
51,CULEX RESTUANS,T011,41.944869,-87.832763,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
52,CULEX RESTUANS,T016,42.011601,-87.811506,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
53,CULEX RESTUANS,T019,41.94983,-87.698457,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
54,CULEX RESTUANS,T025,41.979243,-87.750938,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
55,CULEX RESTUANS,T028,41.986921,-87.689778,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
56,CULEX PIPIENS/RESTUANS,T031,41.801498,-87.763416,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
57,CULEX RESTUANS,T033,41.906638,-87.701431,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
58,CULEX RESTUANS,T089,41.723195,-87.64997,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
59,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
60,CULEX RESTUANS,T090,41.868077,-87.666901,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
61,CULEX PIPIENS/RESTUANS,T092,41.869216,-87.627561,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
62,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.724608,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
63,CULEX RESTUANS,T135,41.662014,-87.724608,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
64,CULEX PIPIENS,T135,41.662014,-87.724608,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
65,CULEX PIPIENS/RESTUANS,T141,41.961743,-87.76007,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
66,CULEX RESTUANS,T141,41.961743,-87.76007,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
67,CULEX PIPIENS/RESTUANS,T142,41.953067,-87.776792,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
68,CULEX RESTUANS,T142,41.953067,-87.776792,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
69,CULEX RESTUANS,T145,41.878114,-87.629798,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
70,CULEX PIPIENS/RESTUANS,T146,41.958271,-87.702575,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
71,CULEX RESTUANS,T146,41.958271,-87.702575,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
72,CULEX RESTUANS,T147,41.932094,-87.700117,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
73,CULEX PIPIENS/RESTUANS,T149,41.994469,-87.667736,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
74,CULEX RESTUANS,T150,42.006858,-87.675919,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
75,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
76,CULEX RESTUANS,T151,41.916265,-87.800515,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
77,CULEX RESTUANS,T152,41.846075,-87.716277,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
78,CULEX RESTUANS,T154,41.918705,-87.752329,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
79,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
80,CULEX RESTUANS,T158,41.682587,-87.707973,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
81,CULEX PIPIENS/RESTUANS,T162,41.725517,-87.614258,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
82,CULEX PIPIENS/RESTUANS,T218,41.948167,-87.730698,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
83,CULEX RESTUANS,T218,41.948167,-87.730698,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
84,CULEX RESTUANS,T220,41.963976,-87.69181,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47,0.0
85,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
86,CULEX RESTUANS,T002,41.95469,-87.800991,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
87,CULEX SALINARIUS,T002,41.95469,-87.800991,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
88,CULEX PIPIENS/RESTUANS,T007,41.994991,-87.769279,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
89,CULEX RESTUANS,T007,41.994991,-87.769279,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
90,CULEX RESTUANS,T015,41.974089,-87.824812,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
91,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
92,CULEX RESTUANS,T045,41.9216,-87.666455,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
93,CULEX PIPIENS/RESTUANS,T046,41.891118,-87.654491,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
94,CULEX RESTUANS,T046,41.891118,-87.654491,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
95,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
96,CULEX RESTUANS,T049,41.896282,-87.655232,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
97,CULEX RESTUANS,T050,41.919343,-87.694259,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
98,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
99,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
100,CULEX RESTUANS,T086,41.688324,-87.676709,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
101,CULEX RESTUANS,T096,41.731922,-87.677512,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
102,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
103,CULEX RESTUANS,T129,41.891126,-87.61156,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
104,CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
105,CULEX RESTUANS,T143,41.999129,-87.795585,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
106,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.687769,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
107,CULEX RESTUANS,T148,42.01743,-87.687769,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
108,CULEX PIPIENS/RESTUANS,T011,41.944869,-87.832763,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
109,CULEX RESTUANS,T011,41.944869,-87.832763,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
110,CULEX PIPIENS/RESTUANS,T016,42.011601,-87.811506,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
111,CULEX RESTUANS,T016,42.011601,-87.811506,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
112,CULEX RESTUANS,T019,41.94983,-87.698457,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
113,CULEX PIPIENS/RESTUANS,T025,41.979243,-87.750938,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
114,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
115,CULEX RESTUANS,T028,41.986921,-87.689778,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
116,CULEX PIPIENS/RESTUANS,T033,41.906638,-87.701431,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
117,CULEX RESTUANS,T033,41.906638,-87.701431,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
118,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
119,CULEX RESTUANS,T090,41.868077,-87.666901,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
120,CULEX PIPIENS,T090,41.868077,-87.666901,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
121,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.724608,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
122,CULEX RESTUANS,T135,41.662014,-87.724608,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
123,CULEX PIPIENS,T135,41.662014,-87.724608,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
124,CULEX PIPIENS/RESTUANS,T141,41.961743,-87.76007,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
125,CULEX RESTUANS,T141,41.961743,-87.76007,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
126,CULEX RESTUANS,T142,41.953067,-87.776792,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
127,CULEX RESTUANS,T145,41.878114,-87.629798,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
128,CULEX RESTUANS,T146,41.958271,-87.702575,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
129,CULEX RESTUANS,T147,41.932094,-87.700117,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
130,CULEX RESTUANS,T150,42.006858,-87.675919,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
131,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
132,CULEX RESTUANS,T151,41.916265,-87.800515,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
133,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
134,CULEX RESTUANS,T158,41.682587,-87.707973,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
135,CULEX RESTUANS,T220,41.963976,-87.69181,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
136,CULEX PIPIENS/RESTUANS,T001,41.953705,-87.733974,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
137,CULEX RESTUANS,T003,41.964242,-87.757639,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
138,CULEX PIPIENS/RESTUANS,T006,41.990284,-87.797127,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
139,CULEX RESTUANS,T006,41.990284,-87.797127,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
140,CULEX RESTUANS,T008,42.008314,-87.777921,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
141,CULEX PIPIENS/RESTUANS,T012,41.991429,-87.747113,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
142,CULEX RESTUANS,T034,41.843811,-87.686763,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
143,CULEX RESTUANS,T037,41.921177,-87.79518,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
144,CULEX PIPIENS/RESTUANS,T040,41.852652,-87.719887,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
145,CULEX RESTUANS,T040,41.852652,-87.719887,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
146,CULEX RESTUANS,T043,41.857402,-87.694991,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
147,CULEX PIPIENS/RESTUANS,T047,41.868142,-87.696269,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
148,CULEX RESTUANS,T047,41.868142,-87.696269,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
149,CULEX PIPIENS/RESTUANS,T051,41.846283,-87.656913,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
150,CULEX RESTUANS,T085,41.721474,-87.648064,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
151,CULEX PIPIENS,T088,41.869107,-87.696293,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
152,CULEX PIPIENS/RESTUANS,T161,41.719059,-87.675088,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
153,CULEX RESTUANS,T161,41.719059,-87.675088,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
154,CULEX RESTUANS,T219,41.966987,-87.674677,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70,0.0
155,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56,0.0
156,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56,0.0
157,CULEX RESTUANS,T015,41.974089,-87.824812,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56,0.0
158,CULEX RESTUANS,T046,41.891118,-87.654491,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56,0.0
159,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56,0.0
160,CULEX RESTUANS,T086,41.688324,-87.676709,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56,0.0
161,CULEX PIPIENS,T086,41.688324,-87.676709,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56,0.0
162,CULEX PIPIENS/RESTUANS,T091,41.862292,-87.64886,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56,0.0
163,CULEX RESTUANS,T096,41.731922,-87.677512,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56,0.0
164,CULEX RESTUANS,T143,41.999129,-87.795585,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56,0.0
165,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.687769,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56,0.0
166,CULEX RESTUANS,T148,42.01743,-87.687769,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56,0.0
167,CULEX RESTUANS,T153,41.907645,-87.760886,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56,0.0
168,CULEX PIPIENS/RESTUANS,T016,42.011601,-87.811506,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56,0.0
169,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56,0.0
170,CULEX RESTUANS,T028,41.986921,-87.689778,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56,0.0
171,CULEX PIPIENS,T031,41.801498,-87.763416,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56,0.0
