Species,Trap,Latitude,Longitude,WnvPresent,AvgSpeed,Cool,Day_of_year,Depart,Heat,PrecipTotal,ResultDir,ResultSpeed,SeaLevel,StnPressure,Tavg,Tmax,Tmin
46,CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
47,CULEX RESTUANS,T143,41.999129,-87.795585,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
48,CULEX RESTUANS,T153,41.907645,-87.760886,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
49,CULEX RESTUANS,T159,41.732984,-87.649642,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
50,CULEX RESTUANS,T009,41.981964,-87.812827,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
51,CULEX RESTUANS,T011,41.944869,-87.832763,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
52,CULEX RESTUANS,T016,42.011601,-87.811506,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
53,CULEX RESTUANS,T019,41.94983,-87.698457,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
54,CULEX RESTUANS,T025,41.979243,-87.750938,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
55,CULEX RESTUANS,T028,41.986921,-87.689778,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
56,CULEX PIPIENS/RESTUANS,T031,41.801498,-87.763416,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
57,CULEX RESTUANS,T033,41.906638,-87.701431,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
58,CULEX RESTUANS,T089,41.723195,-87.64997,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
59,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
60,CULEX RESTUANS,T090,41.868077,-87.666901,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
61,CULEX PIPIENS/RESTUANS,T092,41.869216,-87.627561,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
62,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.724608,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
63,CULEX RESTUANS,T135,41.662014,-87.724608,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
64,CULEX PIPIENS,T135,41.662014,-87.724608,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
65,CULEX PIPIENS/RESTUANS,T141,41.961743,-87.76007,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
66,CULEX RESTUANS,T141,41.961743,-87.76007,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
67,CULEX PIPIENS/RESTUANS,T142,41.953067,-87.776792,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
68,CULEX RESTUANS,T142,41.953067,-87.776792,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
69,CULEX RESTUANS,T145,41.878114,-87.629798,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
70,CULEX PIPIENS/RESTUANS,T146,41.958271,-87.702575,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
71,CULEX RESTUANS,T146,41.958271,-87.702575,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
72,CULEX RESTUANS,T147,41.932094,-87.700117,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
73,CULEX PIPIENS/RESTUANS,T149,41.994469,-87.667736,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
74,CULEX RESTUANS,T150,42.006858,-87.675919,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
75,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
76,CULEX RESTUANS,T151,41.916265,-87.800515,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
77,CULEX RESTUANS,T152,41.846075,-87.716277,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
78,CULEX RESTUANS,T154,41.918705,-87.752329,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
79,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
80,CULEX RESTUANS,T158,41.682587,-87.707973,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
81,CULEX PIPIENS/RESTUANS,T162,41.725517,-87.614258,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
82,CULEX PIPIENS/RESTUANS,T218,41.948167,-87.730698,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
83,CULEX RESTUANS,T218,41.948167,-87.730698,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
84,CULEX RESTUANS,T220,41.963976,-87.69181,0,7.6,0.0,156,-9.0,9.0,0.42,5,5.2,29.79,29.1,56.0,64,47
85,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
86,CULEX RESTUANS,T002,41.95469,-87.800991,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
87,CULEX SALINARIUS,T002,41.95469,-87.800991,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
88,CULEX PIPIENS/RESTUANS,T007,41.994991,-87.769279,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
89,CULEX RESTUANS,T007,41.994991,-87.769279,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
90,CULEX RESTUANS,T015,41.974089,-87.824812,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
91,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
92,CULEX RESTUANS,T045,41.9216,-87.666455,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
93,CULEX PIPIENS/RESTUANS,T046,41.891118,-87.654491,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
94,CULEX RESTUANS,T046,41.891118,-87.654491,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
95,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
96,CULEX RESTUANS,T049,41.896282,-87.655232,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
97,CULEX RESTUANS,T050,41.919343,-87.694259,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
98,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
99,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
100,CULEX RESTUANS,T086,41.688324,-87.676709,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
101,CULEX RESTUANS,T096,41.731922,-87.677512,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
102,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
103,CULEX RESTUANS,T129,41.891126,-87.61156,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
104,CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
105,CULEX RESTUANS,T143,41.999129,-87.795585,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
106,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.687769,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
107,CULEX RESTUANS,T148,42.01743,-87.687769,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
108,CULEX PIPIENS/RESTUANS,T011,41.944869,-87.832763,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
109,CULEX RESTUANS,T011,41.944869,-87.832763,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
110,CULEX PIPIENS/RESTUANS,T016,42.011601,-87.811506,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
111,CULEX RESTUANS,T016,42.011601,-87.811506,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
112,CULEX RESTUANS,T019,41.94983,-87.698457,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
113,CULEX PIPIENS/RESTUANS,T025,41.979243,-87.750938,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
114,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
115,CULEX RESTUANS,T028,41.986921,-87.689778,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
116,CULEX PIPIENS/RESTUANS,T033,41.906638,-87.701431,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
117,CULEX RESTUANS,T033,41.906638,-87.701431,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
118,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
119,CULEX RESTUANS,T090,41.868077,-87.666901,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
120,CULEX PIPIENS,T090,41.868077,-87.666901,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
121,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.724608,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
122,CULEX RESTUANS,T135,41.662014,-87.724608,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
123,CULEX PIPIENS,T135,41.662014,-87.724608,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
124,CULEX PIPIENS/RESTUANS,T141,41.961743,-87.76007,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
125,CULEX RESTUANS,T141,41.961743,-87.76007,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
126,CULEX RESTUANS,T142,41.953067,-87.776792,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
127,CULEX RESTUANS,T145,41.878114,-87.629798,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
128,CULEX RESTUANS,T146,41.958271,-87.702575,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
129,CULEX RESTUANS,T147,41.932094,-87.700117,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
130,CULEX RESTUANS,T150,42.006858,-87.675919,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
131,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
132,CULEX RESTUANS,T151,41.916265,-87.800515,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
133,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
134,CULEX RESTUANS,T158,41.682587,-87.707973,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
135,CULEX RESTUANS,T220,41.963976,-87.69181,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
136,CULEX PIPIENS/RESTUANS,T001,41.953705,-87.733974,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
137,CULEX RESTUANS,T003,41.964242,-87.757639,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
138,CULEX PIPIENS/RESTUANS,T006,41.990284,-87.797127,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
139,CULEX RESTUANS,T006,41.990284,-87.797127,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
140,CULEX RESTUANS,T008,42.008314,-87.777921,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
141,CULEX PIPIENS/RESTUANS,T012,41.991429,-87.747113,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
142,CULEX RESTUANS,T034,41.843811,-87.686763,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
143,CULEX RESTUANS,T037,41.921177,-87.79518,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
144,CULEX PIPIENS/RESTUANS,T040,41.852652,-87.719887,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
145,CULEX RESTUANS,T040,41.852652,-87.719887,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
146,CULEX RESTUANS,T043,41.857402,-87.694991,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
147,CULEX PIPIENS/RESTUANS,T047,41.868142,-87.696269,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
148,CULEX RESTUANS,T047,41.868142,-87.696269,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
149,CULEX PIPIENS/RESTUANS,T051,41.846283,-87.656913,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
150,CULEX RESTUANS,T085,41.721474,-87.648064,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
151,CULEX PIPIENS,T088,41.869107,-87.696293,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
152,CULEX PIPIENS/RESTUANS,T161,41.719059,-87.675088,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
153,CULEX RESTUANS,T161,41.719059,-87.675088,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
154,CULEX RESTUANS,T219,41.966987,-87.674677,0,7.1,16.0,177,10.0,0.0,0.16,22,6.1,30.11,29.39,81.0,92,70
155,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
156,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
157,CULEX RESTUANS,T015,41.974089,-87.824812,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
158,CULEX RESTUANS,T046,41.891118,-87.654491,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
159,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
160,CULEX RESTUANS,T086,41.688324,-87.676709,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
161,CULEX PIPIENS,T086,41.688324,-87.676709,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
162,CULEX PIPIENS/RESTUANS,T091,41.862292,-87.64886,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
163,CULEX RESTUANS,T096,41.731922,-87.677512,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
164,CULEX RESTUANS,T143,41.999129,-87.795585,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
165,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.687769,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
166,CULEX RESTUANS,T148,42.01743,-87.687769,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
167,CULEX RESTUANS,T153,41.907645,-87.760886,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
168,CULEX PIPIENS/RESTUANS,T016,42.011601,-87.811506,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
169,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
170,CULEX RESTUANS,T028,41.986921,-87.689778,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
171,CULEX PIPIENS,T031,41.801498,-87.763416,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
172,CULEX RESTUANS,T089,41.723195,-87.64997,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
173,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
174,CULEX RESTUANS,T090,41.868077,-87.666901,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
175,CULEX PIPIENS,T090,41.868077,-87.666901,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
176,CULEX RESTUANS,T135,41.662014,-87.724608,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
177,CULEX RESTUANS,T141,41.961743,-87.76007,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
178,CULEX RESTUANS,T142,41.953067,-87.776792,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
179,CULEX RESTUANS,T145,41.878114,-87.629798,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
180,CULEX RESTUANS,T146,41.958271,-87.702575,0,8.3,0.0,180,-8.0,2.0,0.0,2,7.6,30.13,29.41,63.0,70,56
